X_10_0.0-,X_10_0.0+,X_10_1.0-,X_10_1.0+,X_10_2.0-,X_10_2.0+,X_10_3.0-,X_10_3.0+,X_11_0.0-,X_11_0.0+,X_11_1.0-,X_11_1.0+,X_12_1.0-,X_12_1.0+,X_12_2.0-,X_12_2.0+,X_12_3.0-,X_12_3.0+,X_13_1.0-,X_13_1.0+,X_13_2.0-,X_13_2.0+,X_13_3.0-,X_13_3.0+,X_14_0.0-,X_14_0.0+,X_14_1.0-,X_14_1.0+,X_2_15.0-,X_2_15.0+,X_2_16.0-,X_2_16.0+,X_2_17.0-,X_2_17.0+,X_2_18.0-,X_2_18.0+,X_23_3.0-,X_23_3.0+,X_23_4.0-,X_23_4.0+,X_23_5.0-,X_23_5.0+,X_24_2.0-,X_24_2.0+,X_24_3.0-,X_24_3.0+,X_24_4.0-,X_24_4.0+,X_24_5.0-,X_24_5.0+,X_25_2.0-,X_25_2.0+,X_25_3.0-,X_25_3.0+,X_25_4.0-,X_25_4.0+,X_25_5.0-,X_25_5.0+,X_26_1.0-,X_26_1.0+,X_26_2.0-,X_26_2.0+,X_26_3.0-,X_26_3.0+,X_27_1.0-,X_27_1.0+,X_27_2.0-,X_27_2.0+,X_27_3.0-,X_27_3.0+,X_27_4.0-,X_27_4.0+,X_28_1.0-,X_28_1.0+,X_28_2.0-,X_28_2.0+,X_28_3.0-,X_28_3.0+,X_28_4.0-,X_28_4.0+,X_28_5.0-,X_28_5.0+,X_29_0.0-,X_29_0.0+,X_29_2.0-,X_29_2.0+,X_29_4.0-,X_29_4.0+,X_29_6.0-,X_29_6.0+,X_29_10.0-,X_29_10.0+,X_30_0.0-,X_30_0.0+,X_30_1.0-,X_30_1.0+,X_30_2.0-,X_30_2.0+,X_30_3.0-,X_30_3.0+,X_31_0.0-,X_31_0.0+,X_31_1.0-,X_31_1.0+,X_31_2.0-,X_31_2.0+,X_31_3.0-,X_31_3.0+,X_6_1.0-,X_6_1.0+,X_6_2.0-,X_6_2.0+,X_6_3.0-,X_6_3.0+,X_6_4.0-,X_6_4.0+,X_7_1.0-,X_7_1.0+,X_7_2.0-,X_7_2.0+,X_7_3.0-,X_7_3.0+,X_7_4.0-,X_7_4.0+,X_8_0.0-,X_8_0.0+,X_8_2.0-,X_8_2.0+,X_8_3.0-,X_8_3.0+,X_8_4.0-,X_8_4.0+,X_9_2.0-,X_9_2.0+,X_9_3.0-,X_9_3.0+,X_9_4.0-,X_9_4.0+,X_3,X_0,X_1,X_4,X_5,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_3_neg,X_0_neg,X_1_neg,X_4_neg,X_5_neg,X_15_neg,X_16_neg,X_17_neg,X_18_neg,X_19_neg,X_20_neg,X_21_neg,X_22_neg,y
0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,3
1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,2
0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,2
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,2
1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,2
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,4
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,2
0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,3
0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,2
