,#nodes,#nodes,#nodes,#nodes,#nodes,#nodes
model,BinOCT,FlowOCT,GOSDT,OCT,RF,Tree
problem,,,,,,
ADULT,x,x,13.0,41.0,55.44,55.0
ATTRITION,x,x,x,5.0,48.0,7.0
BANKNOTE,63.0,61.0,11.0,19.0,30.4,35.0
BANK_MKT,x,x,3.0,41.0,54.84,57.0
COMPAS,63.0,53.0,11.0,11.0,15.0,61.0
DEFAULT,x,x,5.0,15.0,60.9,15.0
DIABETES_PIMA,31.0,29.0,9.0,7.0,46.72,51.0
ECOLI,31.0,31.0,3.0,9.0,24.96,27.0
GLASS,63.0,47.0,17.0,21.0,32.44,23.0
HEARTS,7.0,7.0,5.0,5.0,26.2,5.0
ILPD,7.0,7.0,7.0,1.0,7.0,21.0
IONOSPHERE,x,31.0,13.0,5.0,17.14,5.0
LAW,7.0,7.0,5.0,11.0,27.44,11.0
LIVER,15.0,15.0,13.0,5.0,37.88,31.0
MAGIC,x,x,23.0,37.0,58.86,61.0
MAMMOGRAPHY,15.0,15.0,x,19.0,45.2,15.0
MUSHROOM,x,x,7.0,15.0,28.4,23.0
MUSK,x,x,19.0,57.0,49.5,53.0
NURSERY,63.0,x,9.0,19.0,44.76,33.0
OILSPILL,7.0,7.0,5.0,5.0,30.8,7.0
PHONEME,x,31.0,13.0,51.0,56.2,53.0
SEEDS,31.0,29.0,7.0,7.0,18.68,7.0
SENSORLESS,x,x,x,57.0,44.9,35.0
SKINNONSKIN,x,x,5.0,35.0,55.56,57.0
STUDENT,15.0,15.0,15.0,11.0,52.9,31.0
TICTACTOE,63.0,25.0,15.0,35.0,56.36,43.0
TRANSFUSION,15.0,15.0,3.0,9.0,48.2,15.0
WDBC,x,31.0,13.0,9.0,22.04,23.0
WINE,15.0,15.0,7.0,11.0,16.2,13.0
