,f1,f1,f1,f1,f1,f1
model,BinOCT,FlowOCT,GOSDT,OCT,RF,Tree
problem,,,,,,
ADULT,x,x,62.49,65.93,55.84,62.6
ATTRITION,x,x,x,4.44,13.64,4.44
BANKNOTE,97.62,93.93,96.03,97.21,98.43,96.33
BANK_MKT,x,x,69.83,79.85,78.72,78.78
COMPAS,67.45,65.26,67.52,67.52,66.87,67.36
DEFAULT,x,x,92.68,46.43,41.18,46.94
DIABETES_PIMA,61.54,49.41,62.5,66.02,66.67,67.33
ECOLI,76.47,83.82,61.76,79.41,88.24,80.88
GLASS,74.42,55.81,58.14,83.72,76.74,72.09
HEARTS,98.25,98.25,98.25,98.25,98.25,98.25
ILPD,19.23,0.0,20.83,0.0,8.7,11.76
IONOSPHERE,x,77.78,93.18,90.7,93.33,90.91
LAW,98.5,98.5,98.62,100.0,99.98,100.0
LIVER,73.56,70.33,72.29,75.0,81.72,71.6
MAGIC,x,x,87.09,88.16,88.43,87.43
MAMMOGRAPHY,63.04,10.71,x,70.59,64.94,59.46
MUSHROOM,x,x,98.54,100.0,99.12,100.0
MUSK,x,x,68.33,89.83,78.75,78.49
NURSERY,22.84,x,76.77,78.51,77.7,77.89
OILSPILL,28.57,0.0,62.5,66.67,50.0,62.5
PHONEME,x,31.25,64.83,74.19,69.74,69.91
SEEDS,85.71,88.1,85.71,88.1,85.71,80.95
SENSORLESS,x,x,x,87.97,90.1,71.53
SKINNONSKIN,x,x,94.57,99.71,99.2,99.0
STUDENT,73.85,73.85,46.92,73.85,71.54,72.31
TICTACTOE,93.65,79.31,80.49,91.39,88.17,93.33
TRANSFUSION,19.23,23.08,5.26,44.83,30.77,42.86
WDBC,x,95.45,95.24,95.12,95.24,94.12
WINE,97.22,97.22,88.89,94.44,100.0,94.44
