Metric,BinOCT,FlowOCT,GOSDT,OCT,RF,Tree
accuracy,79.85,80.63,81.53,86.29,86.46,84.78
f1,67.71,62.74,73.43,75.79,74.4,73.57
auc,73.26,67.01,80.05,79.85,77.53,79.08
precision,74.43,60.13,82.18,74.69,82.18,76.35
recall,59.92,52.98,73.91,71.63,66.99,69.09
specificity,86.59,81.04,86.19,88.07,88.07,89.07
#leaves,15.53,12.89,5.42,10.38,19.69,15.55
#nodes,30.06,24.79,9.85,19.76,38.38,30.1
#rules,14.53,11.89,4.42,9.38,18.69,14.55
max_depth,3.53,3.63,3.27,3.59,4.66,4.07
avg_depth,3.53,3.54,2.56,3.09,4.64,3.76
percent_features_used,x,11.74,28.95,36.03,96.51,51.04
imbalanced,0.0,31.58,80.77,89.66,x,72.41
fit_time,580.29,596.65,11.28,406.01,99.92,3.79
