model,BinOCT,BinOCT,FlowOCT,FlowOCT,GOSDT,GOSDT,OCT,OCT,RF,RF,Tree,Tree
is_imbalanced,False,True,False,True,False,True,False,True,False,True,False,True
Metric,,,,,,,,,,,,
accuracy,80.86,78.01,78.52,86.54,81.82,80.58,84.87,90.02,85.07,90.09,83.47,88.21
f1,71.57,60.64,67.37,49.77,74.16,71.02,77.36,71.65,76.56,68.75,76.08,66.97
#leaves,15.27,16.0,13.5,11.2,5.45,5.33,10.67,9.62,19.78,19.44,17.1,11.5
#nodes,29.55,31.0,26.0,21.4,9.9,9.67,20.33,18.25,38.56,37.89,33.19,22.0
#rules,14.27,15.0,12.5,10.2,4.45,4.33,9.67,8.62,18.78,18.44,16.1,10.5
max_depth,3.55,3.5,3.79,3.2,3.4,2.83,3.48,3.88,4.57,4.88,4.19,3.75
avg_depth,3.55,3.5,3.69,3.13,2.62,2.35,3.05,3.19,4.55,4.88,3.89,3.43
percent_features_used,x,x,12.86,8.62,30.81,22.72,35.0,38.73,96.35,96.9,53.62,44.25
imbalanced,0.0,0.0,35.71,20.0,80.0,83.33,85.71,100.0,x,x,76.19,62.5
fit_time,563.16,611.69,594.68,602.15,11.94,9.06,527.05,88.28,120.18,46.74,4.57,1.74
predict_time,0.0,0.01,0.06,0.08,7.08,0.05,0.15,0.05,0.01,0.01,0.0,0.0
Count(problems),11,6,14.0,5.0,20.0,6.0,21.0,8.0,21,8,21.0,8.0
